date,India_AverageTemperature
1907-06-01,30.443764705882355
1907-07-01,29.14879283887468
1907-08-01,27.248685421994885
1907-09-01,27.792506393861895
1907-10-01,26.278283887468035
1907-11-01,22.61695652173913
1907-12-01,18.109693094629158
1908-01-01,17.829
1908-02-01,20.76440409207161
1908-03-01,24.864104859335036
1908-04-01,30.227677749360616
1908-05-01,31.466516624040924
1908-06-01,31.13438874680307
1908-07-01,27.80658567774936
1908-08-01,27.12638363171356
1908-09-01,27.315273657289005
1908-10-01,25.64224040920716
1908-11-01,21.417020460358057
1908-12-01,17.815411764705882
1909-01-01,18.525759590792838
1909-02-01,20.474386189258315
1909-03-01,25.89752685421995
1909-04-01,27.707570332480817
1909-05-01,31.058959079283888
1909-06-01,29.416309462915603
1909-07-01,27.545514066496164
1909-08-01,27.27512020460358
1909-09-01,27.064214833759593
1909-10-01,25.720580562659844
1909-11-01,22.631427109974428
1909-12-01,18.70131713554987
1910-01-01,18.085874680306905
1910-02-01,20.66050895140665
1910-03-01,25.242329923273658
1910-04-01,28.907562659846548
1910-05-01,31.29656010230179
1910-06-01,29.676918158567776
1910-07-01,27.90527621483376
1910-08-01,27.3720179028133
1910-09-01,27.21184654731458
1910-10-01,25.163710997442458
1910-11-01,21.039641943734015
1910-12-01,18.00987212276215
1911-01-01,19.23400767263427
1911-02-01,20.360089514066495
1911-03-01,23.972107416879798
1911-04-01,28.78045780051151
1911-05-01,31.83686956521739
1911-06-01,29.841289002557545
1911-07-01,29.23923529411765
1911-08-01,27.88099488491049
1911-09-01,27.31359335038363
1911-10-01,25.996624040920718
1911-11-01,21.67619948849105
1911-12-01,18.497662404092072
1912-01-01,18.702092071611254
1912-02-01,21.702531969309465
1912-03-01,25.114480818414325
1912-04-01,28.75353196930946
1912-05-01,31.55632225063939
1912-06-01,31.441135549872122
1912-07-01,28.38622506393862
1912-08-01,27.499427109974423
1912-09-01,27.28854219948849
1912-10-01,25.750764705882354
1912-11-01,21.411242966751917
1912-12-01,18.18231969309463
1913-01-01,18.166780051150894
1913-02-01,20.82078260869565
1913-03-01,23.88866751918159
1913-04-01,29.78226598465473
1913-05-01,30.522306905370844
1913-06-01,29.178186700767263
1913-07-01,28.06868286445013
1913-08-01,27.765099744245525
1913-09-01,27.88216112531969
1913-10-01,26.049728900255754
1913-11-01,21.695928388746804
1913-12-01,18.471329923273657
1914-01-01,18.96062915601023
1914-02-01,20.937736572890024
1914-03-01,24.688659846547313
1914-04-01,28.20563938618926
1914-05-01,31.199897698209718
1914-06-01,30.306800511508953
1914-07-01,28.025820971867006
1914-08-01,27.49083120204604
1914-09-01,27.42600767263427
1914-10-01,25.322805626598466
1914-11-01,22.54195652173913
1914-12-01,18.682987212276213
1915-01-01,18.584598465473146
1915-02-01,20.215780051150894
1915-03-01,24.859383631713555
1915-04-01,28.94513810741688
1915-05-01,32.004759590792844
1915-06-01,31.086713554987213
1915-07-01,29.12052685421995
1915-08-01,28.13261636828645
1915-09-01,27.916603580562658
1915-10-01,26.77899232736573
1915-11-01,22.978358056265986
1915-12-01,18.58161381074169
1916-01-01,18.474693094629156
1916-02-01,20.5039462915601
1916-03-01,26.536710997442455
1916-04-01,29.63847314578005
1916-05-01,31.552992327365732
1916-06-01,29.194841432225065
1916-07-01,28.24223017902813
1916-08-01,27.42982608695652
1916-09-01,27.304739130434783
1916-10-01,25.622695652173913
1916-11-01,21.51742966751918
1916-12-01,17.84990281329923
1917-01-01,18.189780051150898
1917-02-01,20.550498721227623
1917-03-01,24.38074680306905
1917-04-01,27.571631713554986
1917-05-01,28.648186700767265
1917-06-01,29.178823529411765
1917-07-01,27.93306905370844
1917-08-01,27.390905370843992
1917-09-01,26.692590792838875
1917-10-01,25.06370588235294
1917-11-01,21.020404092071608
1917-12-01,18.262506393861894
1918-01-01,17.30591304347826
1918-02-01,20.650953964194375
1918-03-01,25.054335038363174
1918-04-01,27.85998465473146
1918-05-01,31.04175703324808
1918-06-01,29.232693094629155
1918-07-01,29.45478516624041
1918-08-01,27.932306905370844
1918-09-01,27.826713554987215
1918-10-01,26.18452173913044
